id,name,description
30,스마트스토어,"스마트스토어는 네이버의 온라인 쇼핑몰 플랫폼으로, 소상공인의 온라인 창업을 지원한다."
31,카카오,카카오는 메신저 서비스인 카카오톡을 비롯한 다양한 온라인 서비스를 제공하는 기업이다.
33,현대차,"현대자동차는 대한민국의 자동차 제조 기업으로, 다양한 차종과 기술력을 바탕으로 글로벌 시장에서 경쟁하고 있다."
34,HMI,"HMI는 현대자동차의 인도 법인으로, 인도 시장에서 자동차를 생산하고 판매하고 있다."
37,LG전자,"LG전자는 한국의 대표적인 가전제품 기업으로, TV, 냉장고, 세탁기 등을 생산한다."
39,테슬라,"테슬라는 미국의 전기자동차 기업으로, 전기자동차와 에너지 저장장치 등을 생산한다."
44,SKT,"SKT는 대한민국의 이동통신사로, 통신 서비스 외에도 인공지능, 빅데이터 등 다양한 기술을 활용하여 다양한 서비스를 제공하고 있다."
45,디쉐어,"디쉐어는 대한민국의 교육 기업으로, 영어 교육 브랜드 '에이닷'을 운영하고 있다."
47,팀네이버,"팀네이버는 네이버의 다양한 계열사들을 통칭하는 용어로, 네이버, 네이버클라우드, 네이버랩스, 네이버웍스 등이 포함된다."
48,HD현대,"HD현대는 현대중공업그룹의 지주회사로, 현대중공업, 현대미포조선, 현대삼호중공업 등을 계열사로 두고 있다."
49,라인야후,라인야후는 일본의 합작법인으로 라인과 야후 재팬을 운영하고 있다.
50,SM엔터테인먼트,"SM엔터테인먼트는 대한민국의 엔터테인먼트 기업으로 가수, 배우 등 다양한 아티스트를 배출하고 있다."
51,애플,"애플은 미국의 전자제품 제조 기업으로 스마트폰, 노트북, 아이패드 등을 생산하고 있다."
55,토스,"토스는 대한민국의 핀테크 기업으로, 간편 송금 서비스를 시작으로 보험, 증권 등 다양한 금융 서비스를 제공하고 있다."
56,카카오페이,"카카오페이는 대한민국의 핀테크 기업으로, 간편 결제 서비스를 시작으로 보험, 증권 등 다양한 금융 서비스를 제공하고 있다."
57,토스인슈어런스,"토스인슈어런스는 토스의 자회사로, 보험 상품 판매를 전문으로 하는 법인보험대리점(GA)이다."
58,카카오페이손해보험,"카카오페이손해보험은 카카오페이의 자회사로, 디지털 보험사이다."
62,현대자동차그룹,"현대자동차그룹은 대한민국의 자동차 제조 기업으로, 다양한 차종과 기술력을 바탕으로 글로벌 시장에서 경쟁하고 있다."
63,LG에너지솔루션,"LG에너지솔루션은 LG화학의 배터리 사업 부문을 물적분할하여 설립된 기업으로, 전기차 배터리 시장에서 세계적인 경쟁력을 가지고 있다."
64,삼성물산,"삼성물산은 대한민국의 대표적인 건설 기업으로, 국내외에서 다양한 건축물과 인프라를 건설하고 있다."
67,퀄컴,"퀄컴은 칩을 제조하는 미국의 기업으로, 모바일 프로세서 분야에서 세계적인 기술력을 보유하고 있다."
68,마루티 스즈키,"마루티 스즈키는 인도의 자동차 제조 기업으로, 인도 시장에서 가장 높은 점유율을 차지하고 있다."
69,타타모터스,"타타모터스는 인도의 자동차 제조 기업으로, 현대자동차와 함께 인도 시장에서 높은 점유율을 차지하고 있다."
72,레인보우로보틱스,"레인보우로보틱스는 대한민국의 로봇 제조 기업으로, 휴머노이드 로봇과 협동로봇, 자율주행로봇 등을 개발하고 있다."
74,홈플러스 익스프레스,"홈플러스의 기업형 슈퍼마켓(SSM)으로, 전국에 310개 오프라인 매장을 보유하고 있다."
75,알리 익스프레스,"중국의 온라인 쇼핑몰로, 저렴한 가격과 빠른 배송을 제공한다."
76,MBK파트너스,"대한민국의 사모펀드로, 홈플러스의 모회사이다."
77,파나소닉,"파나소닉은 일본의 종합 가전제품 제조 회사로, 음향 및 영상기기, 반도체, 자동차 부품 등 다양한 분야에서 사업을 영위하고 있다."
79,샬케04,"샬케04는 독일의 프로 축구 구단으로, 분데스리가에서 경쟁하고 있다."
80,알파홀딩스,알파홀딩스는 시스템 반도체 설계 사업과 함께 첨단 기술 분야 투자·사업을 활발히 진행하고 있는 업체이다.
81,브라이튼코퍼레이션,브라이튼코퍼레이션은 SKT의 사내 유망 기술을 기반으로 설립된 레이저 광학기술 전문 기업이다.
83,카카오모빌리티,"카카오모빌리티는 카카오의 자회사로, 택시, 대리운전, 주차 등 다양한 모빌리티 서비스를 제공하고 있다."
84,제주항공,"제주항공은 대한민국의 항공사로, 국내선과 국제선 노선을 운영하고 있다."
86,신세계,"대한민국의 유통 기업으로, 멤버십 서비스인 스마일클럽을 통해 온·오프라인 혜택을 제공하고 있다."
91,LG생활건강,"LG생활건강은 대한민국의 대표적인 생활용품 및 화장품 제조 기업으로, 다양한 제품을 생산하고 있다."
